LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND
AUS,2011,15.311,1.307,583.222,13029.19
AUS,2012,15.308,1.328,589.993,13412.59
AUS,2013,14.345,1.255,586.402,13562.38
AUS,2014,12.498,1.229,569.455,13368.35
AUS,2015,12.442,1.267,594.233,14152.25
AUS,2016,12.915,1.303,650.539,15737.13
AUS,2017,12.275,1.243,622.908,15318.92
AUS,2018,11.93,1.2,619.256,15458.65
AUS,2019,12.049,1.231,617.729,15650.06
AUS,2020,11.961,1.278,680.868,17463.75
AUS,2021,12.469999999999999,1.261,605.981,14735.585
AUT,2011,12.291,1.232,534.067,4481.7
AUT,2012,12.063,1.23,553.478,4665.81
AUT,2013,11.886,1.223,566.622,4804.85
AUT,2014,12.144,1.259,589.981,5042.19
AUT,2015,12.292,1.274,607.648,5251.72
AUT,2016,11.965,1.239,621.653,5431.18
AUT,2017,12.085,1.255,642.378,5651.36
AUT,2018,11.951,1.237,659.52,5830.5
AUT,2019,11.836,1.241,665.852,5912.71
AUT,2020,12.131,1.381,711.325,6342.79
AUT,2021,11.431,1.383,764.767,6849.1
BEL,2011,13.608,1.41,551.654,6089.3
BEL,2012,12.768,1.341,541.621,6015.75
BEL,2013,12.534,1.326,556.791,6213.46
BEL,2014,12.223,1.297,561.59,6294.89
BEL,2015,12.27,1.325,591.141,6664.64
BEL,2016,12.043,1.3,603.742,6841.26
BEL,2017,11.513,1.243,592.17,6736.03
BEL,2018,11.237,1.22,601.265,6870.69
BEL,2019,11.314,1.221,613.639,7050.09
BEL,2020,11.176,1.251,615.681,7104.1
BEL,2021,10.782,1.191,649.344,7523.43
BGR,2011,35.16,2.6685,602.0665,4244.52
BGR,2012,37.745,2.846,474.182,3464.32
BGR,2013,34.911,2.494,432.714,3143.72
BGR,2014,34.883,2.68,491.214,3548.5
BGR,2015,35.948,2.657,516.436,3706.97
BGR,2016,36.738,2.739,587.206,4185.5
BGR,2017,36.971,2.77,625.801,4428.13
BGR,2018,35.409,2.595,625.647,4395.19
BGR,2019,34.357,2.436,616.927,4303.54
BGR,2020,32.623,2.766,692.585,4802.39
BGR,2021,30.602,2.618,758.71,5218.21
BRA,2011,18.216,1.702,250.063,51188.76
BRA,2012,18.216,1.702,250.063,51188.76
BRA,2013,18.216,1.702,250.063,51188.76
BRA,2014,18.216,1.702,250.063,51188.76
BRA,2015,18.249,1.626,248.338,50083.7
BRA,2016,18.259,1.674,244.67,49721.38
BRA,2017,17.972,1.702,250.063,51188.76
BRA,2018,18.2,1.723,261.617,53921.16
BRA,2019,18.216,1.751,272.831,56600.28
BRA,2020,18.216,1.702,250.063,51188.76
BRA,2021,18.216,1.702,250.063,51188.76
CAN,2011,17.903,1.858,755.06,25928.17
CAN,2012,17.462,1.835,756.825,26271.97
CAN,2013,17.036,1.774,754.272,26460.61
CAN,2014,16.628,1.706,754.336,26729.19
CAN,2015,16.722,1.796,774.778,27663.06
CAN,2016,16.625,1.834,838.504,30279.05
CAN,2017,16.426,1.791,849.457,31043.47
CAN,2018,15.927,1.737,850.075,31514.51
CAN,2019,15.846,1.744,827.573,31132.05
CAN,2020,14.236,1.856,836.93,31827.31
CAN,2021,13.785,1.7,865.337,33090.37
CHE,2011,10.323,1.037,539.795,4271.07
CHE,2012,10.377,1.053,566.963,4533.92
CHE,2013,10.228,1.062,595.626,4818.22
CHE,2014,10.225,1.066,611.906,5010.68
CHE,2015,10.177,1.097,636.994,5275.84
CHE,2016,10.333,1.136,676.592,5665.33
CHE,2017,10.545,1.165,687.401,5809.8
CHE,2018,10.661,1.148,703.786,5992.27
CHE,2019,10.681,1.182,716.538,6144.51
CHE,2020,10.849,1.273,761.87,6581.16
CHE,2021,10.593,1.25,803.203,6991.52
COL,2011,15.581,1.159,159.429,7488.37
COL,2012,15.581,1.159,159.429,7488.37
COL,2013,15.593,1.094,144.302,6659.77
COL,2014,15.653,1.125,154.548,7196.59
COL,2015,15.403,1.159,159.429,7488.37
COL,2016,15.532,1.17,171.109,8116.99
COL,2017,15.581,1.196,177.532,8544.81
COL,2018,15.581,1.159,159.429,7488.37
COL,2019,15.581,1.159,159.429,7488.37
COL,2020,15.581,1.159,159.429,7488.37
COL,2021,15.581,1.159,159.429,7488.37
CRI,2011,14.943,1.212,175.759,810.22
CRI,2012,14.365,1.118,175.023,816.3
CRI,2013,13.506,1.037,167.223,788.65
CRI,2014,14.751,1.13,193.603,922.93
CRI,2015,14.541,1.104,201.037,968.6
CRI,2016,13.614,0.996,192.399,936.41
CRI,2017,7.66,0.54,110.724,544.01
CRI,2018,9.4,0.685,143.799,712.93
CRI,2019,9.076,0.655,141.242,706.15
CRI,2020,8.225,0.644,133.065,669.89
CRI,2021,8.522,0.645,142.363,720.36
CYP,2011,15.947,1.026,322.562,369.82
CYP,2012,16.093,1.052,320.284,373.26
CYP,2013,16.422,1.138,331.247,392.16
CYP,2014,16.769,1.162,340.102,408.73
CYP,2015,18.405,1.25,383.794,468.04
CYP,2016,18.628,1.239,426.097,527.13
CYP,2017,18.228,1.207,440.257,552.2
CYP,2018,18.133,1.238,474.21,602.6
CYP,2019,15.497,1.095,431.324,554.97
CYP,2020,14.122,1.187,440.737,573.95
CYP,2021,14.99,1.413,578.65,762.26
CZE,2011,19.563,1.479,435.792,4574.11
CZE,2012,19.854,1.514,453.465,4766.27
CZE,2013,19.043,1.432,454.121,4774.75
CZE,2014,18.116,1.379,465.57,4900.29
CZE,2015,17.997,1.326,468.988,4945.98
CZE,2016,17.755,1.322,496.858,5249.97
CZE,2017,17.172,1.267,509.941,5402.54
CZE,2018,16.318,1.219,510.498,5426.56
CZE,2019,15.785,1.2,516.51,5512.13
CZE,2020,15.238,1.404,579.669,6201.22
CZE,2021,13.357,1.267,574.76,6038.3
DEU,2011,14.287,1.54,652.43,52373.81
DEU,2012,14.131,1.534,670.593,53932.99
DEU,2013,14.005,1.54,693.51,55928.53
DEU,2014,14.355,1.583,739.786,59909.72
DEU,2015,14.369,1.608,761.448,62200.11
DEU,2016,14.443,1.624,819.478,67482.92
DEU,2017,14.224,1.612,850.084,70265.39
DEU,2018,14.179,1.628,891.861,73940.43
DEU,2019,13.714,1.607,880.199,73138.34
DEU,2020,13.644,1.732,947.679,78809.81
DEU,2021,13.866,1.793,1042.46,86728.58
DNK,2011,7.679,0.798,327.597,1824.9
DNK,2012,7.231,0.76,320.08,1789.75
DNK,2013,6.831,0.704,308.592,1732.72
DNK,2014,6.771,0.697,310.753,1753.73
DNK,2015,6.711,0.693,316.719,1800.07
DNK,2016,6.576,0.673,321.823,1843.41
DNK,2017,6.508,0.657,332.76,1918.35
DNK,2018,6.436,0.65,341.553,1978.83
DNK,2019,6.601,0.67,353.819,2057.25
DNK,2020,6.53,0.69,372.045,2169.54
DNK,2021,5.848,0.633,372.623,2182.35
ESP,2011,16.328,1.497,446.39,20865.47
ESP,2012,15.808,1.447,431.254,20171.07
ESP,2013,16.278,1.475,449.956,20976.97
ESP,2014,15.61,1.418,446.084,20734.38
ESP,2015,15.298,1.395,461.926,21454.08
ESP,2016,15.875,1.42,499.864,23235.71
ESP,2017,15.386,1.376,510.509,23786.27
ESP,2018,15.217,1.369,521.52,24405.96
ESP,2019,14.749,1.349,520.4,24528.97
ESP,2020,15.081,1.621,560.405,26543.95
ESP,2021,14.554,1.563,594.795,28202.68
EST,2011,19.024,1.156,278.915,370.24
EST,2012,19.285,1.175,305.288,403.8
EST,2013,18.514,1.163,316.199,416.75
EST,2014,17.994,1.145,327.705,430.78
EST,2015,17.538,1.165,340.315,447.65
EST,2016,18.406,1.234,385.885,507.74
EST,2017,17.555,1.158,386.474,509.13
EST,2018,17.374,1.163,410.725,542.97
EST,2019,16.6,1.132,407.201,540.31
EST,2020,15.45,1.171,421.946,560.99
EST,2021,14.698,1.101,451.763,601.27
FIN,2011,12.463,1.15,448.472,2416.49
FIN,2012,12.158,1.165,460.321,2492.16
FIN,2013,12.014,1.178,472.552,2570.2
FIN,2014,11.811,1.155,467.218,2551.72
FIN,2015,12.136,1.171,484.533,2655.01
FIN,2016,12.574,1.179,515.993,2835.54
FIN,2017,12.24,1.117,515.952,2841.97
FIN,2018,12.396,1.121,536.801,2960.74
FIN,2019,12.361,1.134,541.881,2992.05
FIN,2020,12.294,1.184,567.335,3137.1
FIN,2021,11.27,1.155,591.864,3279.53
FRA,2011,14.966,1.674,622.837,40696.69
FRA,2012,14.416,1.629,619.827,40696.39
FRA,2013,14.896,1.698,676.497,44647.4
FRA,2014,14.696,1.696,680.255,45109.12
FRA,2015,14.419,1.651,673.38,44812.28
FRA,2016,14.129,1.621,695.401,46400.01
FRA,2017,14.092,1.6,705.241,47193.33
FRA,2018,13.704,1.536,698.524,46911.72
FRA,2019,13.496,1.497,696.842,46954.65
FRA,2020,13.64,1.655,743.835,50284.07
FRA,2021,12.539,1.543,765.575,51938.76
GBR,2011,11.753,1.17,471.393,31323.49
GBR,2012,11.753,1.17,471.393,31323.49
GBR,2013,12.301,1.214,449.818,28846.05
GBR,2014,12.181,1.201,456.257,29475.25
GBR,2015,12.076,1.183,458.246,29839.25
GBR,2016,11.964,1.164,471.393,30928.85
GBR,2017,11.753,1.128,474.684,31357.08
GBR,2018,11.253,1.095,471.311,31323.49
GBR,2019,10.976,1.093,481.75,32198.4
GBR,2020,10.579,1.286,528.752,35469.34
GBR,2021,9.463,1.17,517.288,34671.9
GRC,2011,30.981,2.848,709.328,7877.02
GRC,2012,29.002,2.588,622.251,6872.77
GRC,2013,27.424,2.314,572.577,6278.43
GRC,2014,28.242,2.229,567.977,6186.64
GRC,2015,27.234,2.239,578.16,6256.2
GRC,2016,27.953,2.362,631.254,6802.37
GRC,2017,28.75,2.339,647.113,6959.49
GRC,2018,27.342,2.22,632.89,6792.73
GRC,2019,28.35,2.324,666.093,7141.57
GRC,2020,30.198,2.87,750.761,8032.09
